Name,Price,Condition,Shipping
Blue Pink Lenovo ThinkPad T450 Core I5 8GB RAM 256GB SSD Windows 10 Pro Laptop,EUR 142.98 to EUR 214.48,Very Good - Refurbished,+EUR 29.52 shipping estimate
2024 Dell Inspiron 15 Laptop Touch Intel i5-1235U UP 64GB RAM&1TB SSD Win 11 PRO,EUR 409.09 to EUR 636.87,Brand New,+EUR 52.06 shipping
"15.6"" Dell Latitude Laptop PC: Intel i5 Quad Core! 32GB RAM! 1TB SSD! Windows 11",EUR 337.07,Very Good - Refurbished,+EUR 46.45 shipping
Lenovo ThinkPad T495 Ryzen 5 PRO 3500U 512GB NVMe 16GB FullHD Touch Screen Memory,EUR 299.00,Very Good - Refurbished,+EUR 20.99 shipping
"Acer Chromebook 15.6"" IPS Full HD Intel Dual Core 4GB 128GB Google",EUR 175.00,New (Other),+EUR 19.90 shipping
"13.3"" Dell Latitude 2-in-1 Laptop: Intel i7!  16GB RAM! 256GB SSD! Windows 11!",EUR 255.10,Good - Refurbished,+EUR 43.79 shipping
"15.6"" Dell Precision Gaming Laptop: Intel i7! 16GB RAM! 1TB SSD! Windows 10 Pro!",EUR 273.29,Very Good - Refurbished,+EUR 51.42 shipping
"Dell Latitude Laptop PC 15.6"" FHD Intel Core i5 16GB RAM 256GB SSD Windows 11",EUR 168.63,Pre-Owned,+EUR 43.06 shipping
"LENOVO YOGA 370 13.3"" i7 RAM 16GB SSD 512GB FHD TOUCHSCREEN WIN 11 Pro Notebook",EUR 199.99,Pre-Owned,+EUR 9.90 shipping
"Lenovo ThinkPad X390 Touch Laptop 13"" Core i5 8GB RAM 256GB SSD Windows 11 Pro",EUR 181.24,Very Good - Refurbished,+EUR 41.39 shipping
"New Lenovo Fast Quad Core, 32GB RAM, 2TB SSD, HD,Windows 11 Pro, Office Pro Plus",EUR 327.03 to EUR 832.79,Brand New,+EUR 38.27 shipping estimate
Dell Latitude 5480 Intel Core i5-6200u 14 inch 8GB/16GB/32GB RAM Windows 10/11,EUR 164.00 to EUR 292.00,Very Good - Refurbished,+EUR 16.50 shipping
2024 Lenovo IdeaPad Laptop 15.6 FHD 10-Core Intel i5 16GB RAM 1TB SSD Win11 PRO,EUR 399.98,Brand New,+EUR 50.58 shipping
"HP Spectre x360 16t 16 Touch Laptop PC 16"" i7 16GB 512GB SSD W11 Pen & Case",EUR 655.58,Open Box,+EUR 66.69 shipping
"GAMING LENOVO LAPTOP FAST i7 32GB RAM 512GB SSD WINDOWS 10/11 NVIDIA 15.6"" FHD",EUR 297.89 to EUR 446.84,Very Good - Refurbished,+EUR 39.35 shipping estimate
"Lenovo ThinkPad X1 Nano 13"" Touchscreen 2K i7-1180G7 16GB/256GB Win 10 Pro",EUR 546.66,Excellent - Refurbished,+EUR 50.42 shipping
Dell Latitude 12” 14” 15” 1080p Laptop Computer Windows 11 up to 32GB/1TB SSD,EUR 136.67 to EUR 273.34,Very Good - Refurbished,+EUR 38.29 shipping
Fast Cheap Dell Gaming Laptop i7 Up To 3.40GHz 32GB RAM 1TB SSD Win11 Computer,EUR 211.45 to EUR 461.69,Very Good - Refurbished,+EUR 32.52 shipping estimate
"Lenovo ThinkPad 11.6"" Touchscreen Laptop Pentium 4GB RAM 250GB SSD Windows 10",EUR 85.94,Pre-Owned,+EUR 38.29 shipping
